Date,Close,High,Low,Open,Volume
2015-01-02,1348.5760498046875,1357.2577794730746,1334.106396731433,1334.106396731433,49671357
2015-01-05,1342.7880859375,1354.3639323984191,1339.8941243222703,1342.7880859375,54526841
2015-01-06,1334.106201171875,1345.6818908458768,1331.2122398936517,1337.000007011207,71601886
2015-01-07,1363.045654296875,1363.045654296875,1339.8941169414763,1342.788078540765,160783727
2015-01-08,1386.1971435546875,1386.1971435546875,1365.9395685014647,1365.9395685014647,161332636
2015-01-09,1391.9852294921875,1400.6669595661556,1383.3033439792982,1391.9852294921875,147933855
2015-01-12,1360.1517333984375,1383.3032714466171,1357.257771712551,1365.9396567702106,98847157
2015-01-13,1368.8336181640625,1371.7275798493317,1354.3639651766298,1354.3639651766298,86738698
2015-01-14,1360.1517333984375,1377.515348074844,1360.1517333984375,1363.045695084324,88165422
2015-01-15,1354.3638916015625,1365.9395822748832,1351.4699300735062,1354.3638916015625,163544774
2015-01-16,1339.8939208984375,1371.7273383940792,1336.9999597225715,1348.575804426036,160613224
2015-01-19,1342.7880859375,1354.3639323984191,1339.8941243222703,1342.7880859375,102499770
2015-01-20,1331.21240234375,1345.682055061731,1310.9548263630122,1342.7880934303528,305800881
2015-01-21,1322.5302734375,1348.5757678754965,1316.7423512426383,1345.6818067780657,238037511
2015-01-22,1328.3187255859375,1339.8944191550838,1316.7428765778475,1331.21268783796,179535751
2015-01-23,1374.62158203125,1374.62158203125,1342.7881579943826,1342.7881579943826,185410952
2015-01-26,1374.62158203125,1383.30331190391,1348.5760815354342,1365.9396967196722,200738617
2015-01-27,1380.4091796875,1391.9850253402774,1374.6214123000098,1380.4091796875,136142751
2015-01-28,1354.3638916015625,1380.4092344762603,1351.4699300735062,1380.4092344762603,162863863
2015-01-29,1354.3638916015625,1360.1516592187706,1348.57596854545,1360.1516592187706,102927127
2015-01-30,1351.469970703125,1363.045661724449,1348.5760090880667,1354.3639323181833,147868954
2015-02-02,1357.2578125,1357.2578125,1342.7881590746474,1351.4700443932097,74154480
2015-02-03,1360.1517333984375,1368.8336184560974,1357.257771712551,1360.1517333984375,102041612
2015-02-04,1363.045654296875,1380.409268453697,1357.2577310982983,1374.6215006940288,214824910
2015-02-05,1354.3638916015625,1363.045620746827,1345.6820070173935,1360.1516592187706,142598763
2015-02-06,1348.5760498046875,1363.045702877942,1345.6820881022538,1363.045702877942,194154453
2015-02-09,1351.469970703125,1365.9396233395073,1342.7880858579501,1342.7880858579501,143648731
2015-02-10,1348.5760498046875,1365.9396645803756,1345.6820881022538,1345.6820881022538,155653238
2015-02-11,1354.3638916015625,1360.1516592187706,1348.57596854545,1357.2576976907142,115794600
2015-02-12,1374.62158203125,1377.5153883628582,1354.3640050764861,1354.3640050764861,227360177
